category,date,A,A_fullname,A_abrv,B,B_fullname,B_abrv,stadium,A365,D365,B365,A_betWay,D_betWay,B_betWay,A_bovada,D_bovada,B_bovada,A_home,B_home,A_goal,B_goal,A_possess,B_possess,A_ontarget,B_ontarget,A_attack,B_attack,A_foul,B_foul,A_yc,B_yc,A_rc,B_rc,A_rank,B_rank,outcome
group1,2016/6/11,法国,France,FRA,罗马尼亚,Romania,ROU,stade de france,1.36,5,11,1.3,4.75,14,1.39,4.15,8,0,0,2,1,53,47,4,1,65,57,5,13,1,3,0,0,17,22,A
group1,2016/6/11,阿尔巴尼亚,Albania,ALB,瑞士,Switzerland,SUI,stade bollaert-delelis,5.25,3.2,1.9,5,3.1,1.91,5.25,3.25,1.8,0.5,0.5,0,1,44,56,4,6,54,72,8,16,5,2,1,0,42,15,B
group1,2016/6/12,威尔士,Wales,WAL,斯洛伐克,Slovakia,SVK,大西洋马特穆特体育场,3.1,3,2.7,2.9,2.88,2.8,3,3,2.65,0.5,0.5,2,1,46,54,6,2,72,66,16,15,0,5,0,0,26,24,A
group1,2016/6/12,英格兰,England,ENG,俄罗斯,Russia,RUS,维洛德罗姆球场,1.8,3.6,5.25,1.8,3.6,5.25,1.69,3.6,5.5,0.5,0.5,1,1,53,47,6,2,65,80,9,14,1,1,0,0,11,29,D
group1,2016/6/12,土耳其,Turkey,TUR,克罗地亚,Croatia,CRO,王子公园体育场,4.2,3.3,2.05,4,3.4,2.05,4,3.4,1.95,0.5,0.5,0,1,48,52,2,4,48,62,14,14,3,1,0,0,18,27,B
group1,2016/5/13,波兰,Poland,POL,北爱尔兰,Northern Ireland,NIR,安联-里维耶拉球场,1.75,3.5,6,1.75,3.5,5.75,1.65,3.6,6,0.5,0.5,1,0,64,36,3,0,55,47,9,12,2,1,0,0,27,25,A
group1,2016/6/13,德国,Germany,GER,乌克兰,Ukraine,UKR,皮埃尔-莫鲁瓦球场,1.53,4.2,7.5,1.57,4,6,1.53,4,6,0.5,0.5,2,0,66,34,7,3,62,40,9,9,0,1,0,0,4,19,A
group1,2016/6/13,西班牙,Spain,ESP,捷克,Czech Republic,CZE,图卢兹市政球场,1.44,4.5,9,1.44,4.5,8.5,1.38,4.5,9.5,0.5,0.5,1,0,69,31,8,4,70,45,10,11,0,1,0,0,6,30,A
group1,2016/6/14,爱尔兰,Republic of Ireland,IRL,瑞典,Sweden,SWE,stade de france,3.75,3.1,2.35,3.6,3.1,2.3,3.75,3.15,2.15,0.5,0.5,1,1,45,55,3,3,65,52,10,14,2,1,0,0,33,35,D
group1,2016/6/14,比利时,Belgium,BEL,意大利,Italy,ITA,卢米埃尔球场,2.7,3,3.1,2.75,3,3,2.5,3,3.1,0.5,0.5,0,2,61,39,2,5,51,48,10,12,1,4,0,0,2,12,B
group1,2016/6/15,奥地利,Austria,AUT,匈牙利,Hungary,HUN,大西洋马特穆特体育场,1.7,3.7,6,1.7,3.6,6,1.67,3.6,5.5,0.5,0.5,0,2,55,45,3,5,61,53,10,15,2,1,1,0,10,20,B
group1,2016/6/15,葡萄牙,Portugal,POR,冰岛,Iceland,ISL,格奥弗罗伊-居萨,1.4,4.75,10,1.4,4.8,9,1.36,4.65,9.5,0.5,0.5,1,1,71,29,8,3,66,51,9,16,0,2,0,0,8,34,D
group2,2016/6/15,俄罗斯,Russia,RUS,斯洛伐克,Slovakia,SVK,皮埃尔-莫鲁瓦球场,2.4,3.2,3.4,2.35,3.2,3.4,2.3,3.1,3.4,0.5,0.5,1,2,65,35,3,2,97,48,9,12,0,1,0,0,29,24,B
